date,time,temperature,hive,heat up
2020/10/2,2020/10/2 10:44,34.6,B,1
2020/10/2,2020/10/2 10:49,34.6,B,1
2020/10/2,2020/10/2 10:54,33.1,B,1
2020/10/2,2020/10/2 10:59,30.1,B,1
2020/10/2,2020/10/2 11:04,29.1,B,1
2020/10/2,2020/10/2 11:09,29.1,B,1
2020/10/2,2020/10/2 11:14,30.1,B,1
2020/10/2,2020/10/2 11:19,31.1,B,1
2020/10/2,2020/10/2 11:24,32.1,B,1
2020/10/2,2020/10/2 11:29,32.6,B,1
2020/10/2,2020/10/2 11:34,33.1,B,1
2020/10/2,2020/10/2 11:39,33.6,B,1
2020/10/2,2020/10/2 11:44,34.1,B,1
2020/10/2,2020/10/2 11:49,34.1,B,1
2020/10/2,2020/10/2 11:54,34.6,B,1
2020/10/2,2020/10/2 11:59,34.6,B,1
2020/10/2,2020/10/2 12:04,34.6,B,1
2020/10/2,2020/10/2 12:09,35.1,B,1
2020/10/2,2020/10/2 12:14,35.1,B,1
2020/10/2,2020/10/2 12:19,35.1,B,1
2020/10/2,2020/10/2 12:24,35.1,B,1
2020/10/2,2020/10/2 12:29,35.6,B,1
2020/10/2,2020/10/2 12:34,35.6,B,1
2020/10/2,2020/10/2 12:39,35.6,B,1
2020/10/2,2020/10/2 12:44,35.6,B,1
2020/10/2,2020/10/2 12:49,35.6,B,1
2020/10/2,2020/10/2 12:54,35.6,B,1
2020/10/2,2020/10/2 12:59,35.6,B,1
2020/10/2,2020/10/2 13:04,36.1,B,1
2020/10/2,2020/10/2 13:09,36.1,B,1
2020/10/2,2020/10/2 13:14,36.1,B,1
2020/10/2,2020/10/2 13:19,35.6,B,1
2020/10/2,2020/10/2 13:24,35.6,B,1
2020/10/2,2020/10/2 13:29,36.1,B,1
2020/10/2,2020/10/2 13:34,36.1,B,1
2020/10/2,2020/10/2 13:39,36.1,B,1
2020/10/2,2020/10/2 13:44,36.1,B,1
2020/10/2,2020/10/2 13:49,36.1,B,1
2020/10/2,2020/10/2 13:54,36.1,B,1
2020/10/2,2020/10/2 13:59,36.1,B,1
2020/10/2,2020/10/2 14:04,36.6,B,1
2020/10/2,2020/10/2 14:09,36.6,B,1
2020/10/2,2020/10/2 14:14,36.6,B,1
2020/10/2,2020/10/2 14:19,36.6,B,1
2020/10/2,2020/10/2 14:24,36.6,B,1
2020/10/2,2020/10/2 14:29,36.1,B,1
2020/10/2,2020/10/2 14:34,36.1,B,1
2020/10/2,2020/10/2 14:39,36.1,B,1
2020/10/2,2020/10/2 14:44,36.1,B,1
2020/10/2,2020/10/2 14:49,36.1,B,1
2020/10/2,2020/10/2 14:54,36.1,B,1
2020/10/2,2020/10/2 14:59,36.1,B,1
2020/10/2,2020/10/2 15:04,36.1,B,1
2020/10/2,2020/10/2 15:09,36.1,B,1
